Brand,SubBrand
lenovo,cofud
lenovo,guamp
lenovo,java
lenovo,tb310fu
lenovo,tb328xu
lenovo,x6c6f
lenovo,x6c6l
lenovo,x6c6x
motorola,aion
motorola,astro
motorola,austin
motorola,bangkk
motorola,bathena
motorola,berlin
motorola,berlna
motorola,borag
motorola,borneo
motorola,bronco
motorola,burton
motorola,cancunf
motorola,capri
motorola,caprip
motorola,cebu
motorola,cofud
motorola,coful
motorola,corfu
motorola,corfur
motorola,cypfq
motorola,cypfr
motorola,denver
motorola,denver_tmp
motorola,devon
motorola,devonf
motorola,devonn
motorola,dubai
motorola,ellis
motorola,eqe
motorola,eqs
motorola,genevn
motorola,gnevan
motorola,guam
motorola,guamna
motorola,guamp
motorola,hanoip
motorola,hawaiip
motorola,hawaiipl
motorola,hawao
motorola,hiphi
motorola,hiphic
motorola,ibiza
motorola,java
motorola,kiev
motorola,kievv
motorola,kyoto
motorola,lisbon
motorola,lynkco
motorola,lyriq
motorola,manaus
motorola,miami
motorola,milan
motorola,milanf
motorola,minsk
motorola,mototabg70
motorola,msi
motorola,nairo
motorola,nio
motorola,odessa
motorola,olson
motorola,oneli
motorola,p11_lte
motorola,penang
motorola,penangf
motorola,pnangn
motorola,pstar
motorola,racer
motorola,rhode
motorola,rhodec
motorola,rhodei
motorola,rhodep
motorola,rtwo
motorola,saipan
motorola,smith
motorola,sofiap_sprout
motorola,taipei
motorola,tesla
motorola,tonga
motorola,tundra
motorola,vicky
motorola,xpeng
motorola,zeekr
nothing,spacewar
samsung,a01q
samsung,a02q
samsung,a03
samsung,gta7lite
samsung,gta7litewifi
samsung,gta8wifi
samsung,m01q
samsung,m11q
samsung,phoenix
