Brand,SubBrand
alps,spm8666p1_64_bsp
alps,tb8768p1_64_a32
asus,asus_a001d_2
asus,asus_i001_1
asus,asus_i002d
asus,asus_i003_1
asus,asus_i007_1
asus,asus_i01wd
asus,asus_x00pd
asus,asus_x00qd
asus,asus_x00rd
asus,asus_x00td
asus,asus_x01a_1
asus,asus_x01bd
asus,asus_z01qd_1
asus,asus_z01r_1
asus,i001_1
asus,i01wd
asus,kona
asus,msm8953_64
asus,ww_i007d
asus,ww_i01wd
asus,ww_x00pd
asus,ww_x00rd
asus,x00qd
asus,x00td
asus,x017d_2
asus,x01a_1
asus,x01bd
asus,z01qd_1
asus,z01r_1
asus,za550kl
asus,zb555kl
blackshark,katyusha
blackshark,missi
blackshark,penrose
blu,v0350ww
fairphone,fp5
fairphone,fp6
google,angler
hmd,lgd
hmd,nhk
hmd,nighthawk
hmd,nyx
hmd,tct
huawei,huaweimate60
iqoo,2009
iqoo,i1928
iqoo,i2212
iqoo,i2220
iqoo,i2401
iqoo,kona
kirin710,kirin710
kirin970,kirin970
lenovo,7305f
lenovo,7305i
lenovo,7305x
lenovo,akita_row_call
lenovo,anna_row_call
lenovo,anna_row_wifi
lenovo,cream
lenovo,heart
lenovo,jd20
lenovo,jd2019
lenovo,kama2
lenovo,pb-6505m
lenovo,sprout
lenovo,sprout_plus
lenovo,tb-x505f
lenovo,tb-x505l
lenovo,tb-x505x
lenovo,tb-x605fc
lenovo,vega
lenovo,x306f
lenovo,x306xa
lenovo,x705l
lenovo,yt-x705f
lenovo,yt-x705l
lenovo,yt-x705x
lenovo,zap
lenovo,zippo
meizu,meizunote16pro
meizu,meizuvenus
motorola,ali
motorola,bali
motorola,doha
motorola,foles
motorola,kane
motorola,kane_sprout
motorola,lake
motorola,pokerp
motorola,troika_sprout
nokia,agt
nokia,agta
nokia,apo_sprout
nokia,mgka_sprout
nokia,pgn
nokia,qks_sprout
nokia,scw_sprout
nokia,sfi
nokia,ttg_sprout
nubia,nx619j
nubia,nx619j-eea
nubia,nx629j
nubia,nx629j-eea
palm,pepito
panasonic,eluga_z1
rakuten,c330
realme,x2
sharp,hd1
smartisan,delta
smartisan,ocean
smartisan,oxford
smartisan,trident
sonim,xp9900
sprd,v800
symphony,z28
tcl,tb8765ap1_bsp
unknown,generic_a53
vivo,1723
vivo,1725
vivo,1726
vivo,1727
vivo,1802
vivo,1806
vivo,1808
vivo,1812
vivo,1815
vivo,1818
vivo,1820
vivo,1919
vivo,2006
vivo,2025
vivo,2030
vivo,2034
vivo,2036
vivo,2037
vivo,2040
vivo,2045
vivo,2047
vivo,2124
vivo,atoll
vivo,dpd2221
vivo,erdv9630
vivo,k65v1_64_bsp
vivo,k6853v1_64_6360
vivo,msm8937_64
vivo,pd1730bf_ex
vivo,pd1732cf_ex
vivo,pd1801
vivo,pd1814f_ex
vivo,pd1818c
vivo,pd1832
vivo,pd1911
vivo,pd1911f_ex
vivo,pd1916
vivo,pd1921
vivo,pd1955
vivo,pd2046
vivo,pd2047
vivo,pd2068
vivo,pd2073
vivo,pd2092
vivo,pd2102
vivo,pd2106
vivo,pd2111
vivo,pd2118
vivo,pd2121
vivo,pd2130
vivo,pd2133
vivo,pd2134
vivo,pd2140
vivo,pd2141
vivo,pd2145
vivo,pd2148
vivo,pd2154
vivo,pd2158
vivo,pd2162
vivo,pd2163
vivo,pd2164
vivo,pd2165
vivo,pd2166
vivo,pd2168
vivo,pd2170
vivo,pd2178
vivo,pd2185
vivo,pd2186
vivo,pd2199
vivo,pd2217
vivo,pd2227
vivo,pd2229
vivo,pd2230
vivo,pd2231
vivo,pd2243
vivo,pd2254
vivo,pd2272
vivo,pd2307
vivo,trinket
vivo,v2144
vivo,v2145
vivo,v2204
vivo,v2218
vivo,v2219
vivo,v2308
vivo,v2309
walton,primo_s7
wiko,w-p861
xiaomi,jason
xiaomi,whyred
xiaomi,ysl
