Brand,SubBrand
8849,tank3
8849,tank_mini_1
alps,mgvi_64_armv82
alps,mgvi_64_nfc_armv82
alps,mgvi_t_64_armv82
alps,op5303
alps,stone
blackshark,darklighter
blackshark,klein
blackshark,mobius
blackshark,qssi
blackshark,shark
blackshark,skywalker
blackview,bv8900
blackview,bv9200
blu,g0230ww
blu,g0310ww
blu,n0050uu
camfone,hero_13
camfone,hero_se2
camfone,hero_se3_max
clearcellular,clearphone_220
clearcellular,clearphone_420
clearcellular,clearphone_620
cubot,p60
cubot,x50
digma,cs6062ml
doogee,m23
doogee,m23u
doogee,v10
general_luxe,shahin_iii
gigaset,gs290
gm,g501
google,angler
hisense,hlte202n
hisense,sc9832e
iiif150,air1_ultra_pro
iiif150,raptor
infinix,infinix-x650
infinix,infinix-x650c
infinix,infinix-x650d
infinix,infinix-x6531
infinix,infinix-x6531b
infinix,infinix-x6532
infinix,infinix-x655f
infinix,infinix-x657b
infinix,infinix-x657c
infinix,infinix-x662
infinix,infinix-x663d
infinix,infinix-x665b
infinix,infinix-x6711
infinix,infinix-x6739
infinix,infinix-x680d
infinix,infinix-x6812
infinix,infinix-x682c
infinix,infinix-x689
infinix,infinix-x689b
infinix,infinix-x690
infinix,infinix-x690b
infinix,infinix-x695
infinix,infinix-x695c
infinix,infinix-x698
itel,itel-p661n
lava,le9810
lava,le9820
lava,le9830
lava,lf9810_2gb
lava,lxx501
leeco,le_s2
leeco,le_x6
leeco,le_x7
m-horse,m1
meitu,vela
meizu,15
meizu,16s
meizu,16x
meizu,m15
meizu,m1822
meizu,m1852
meizu,meizu16spro
meizu,meizu16t
meizu,meizu16xs
meizu,meizu17
meizu,meizu17pro
meizu,meizu18pro
meizu,meizu18s
meizu,meizu18spro
meizu,meizu18x
meizu,meizunote8
meizu,meizunote9
meizu,note9
meizu,pro6plus
meizu,pro7plus
meizu,x8
mi,pissarroin
micromax,e6523
micromax,e7746
neffos,x20_pro
nothing,asteroids
nothing,galaga
nothing,metroid
nothing,pacman
nothing,pacmanpro
nothing,pong
nothing,tetris
omix,k85v1_64
omix,x500
oneplus,lahaina
oneplus,nord
oneplus,oneplus8
oneplus,oneplus8pro
oneplus,oneplus8t
oneplus,oneplus8tmo
oneplus,oneplus8ttmo
oneplus,oneplus8visible
oneplus,oneplus9
oneplus,oneplus9pro
oneplus,oneplus9protmo
oneplus,oneplus9r
oneplus,oneplus9tmo
oneplus,oneplusn10
oneplus,oneplusn100
oneplus,oneplusn100metro
oneplus,oneplusn100tmo
oneplus,oneplusn10telcel
oneplus,oneplusn10tmo
oneplus,oneplusn200
oneplus,oneplusn200tmo
oneplus,oneplusnordce
oneplus,op5154l1
oneplus,op5155l1
oneplus,op5159l1
oneplus,op515al1
oneplus,op515b
oneplus,op515bl1
oneplus,op516el1
oneplus,op516fl1
oneplus,op535dl1
oneplus,op5547l1
oneplus,op5551l1
oneplus,op5552l1
oneplus,op555b
oneplus,op555bl1
oneplus,op5565
oneplus,op5566l1
oneplus,op5567l1
oneplus,op556fl1
oneplus,op557al1
oneplus,op5911
oneplus,op5913l1
oneplus,op591bl1
oneplus,op5927
oneplus,op5929l1
oneplus,op5943l1
oneplus,op594dl1
oneplus,op5953l1
oneplus,op5955l1
oneplus,op5958l1
oneplus,op595bl1
oneplus,op595dl1
oneplus,op5961l1
oneplus,op5973l1
oneplus,op59bcl1
oneplus,op5cf9l1
oneplus,op5cfbl1
oneplus,op5d06l1
oneplus,op5d0dl1
oneplus,op5d2bl1
oneplus,op5d35l1
oneplus,op5d3bl1
oneplus,op5d3fl1
oneplus,op5d49l1
oneplus,op5d55l1
oneplus,op5d77l1
oneplus,op5da6l1
oneplus,op5daal1
oneplus,op5e93l1
oneplus,op60ebl1
oneplus,op60edl1
oneplus,op60f5l1
oneplus,op60f9l1
oneplus,op612bl1
oneplus,op615al1
oplus,op516e
oplus,op52d5
oplus,op595b
oplus,ossi
oplus,re54b4
oppo,a73t
oppo,cph1819
oppo,cph1823
oppo,cph1861
oppo,cph1877
oppo,cph1879
oppo,cph1893
oppo,cph1909
oppo,lito
oppo,oneplus8
oppo,op46c3
oppo,op4845
oppo,op4863
oppo,op486b
oppo,op4883
oppo,op4a77
oppo,op4a79
oppo,op4a7a
oppo,op4aa7
oppo,op4b65
oppo,op4ba1
oppo,op4ba1l1
oppo,op4ba2l1
oppo,op4ba5l1
oppo,op4c4b
oppo,op4c73
oppo,op4e75l1
oppo,op4ec1
oppo,op4efdl1
oppo,op4f39l1
oppo,op4f43l1
oppo,op4f57l1
oppo,op5209l1
oppo,op5217
oppo,op5225
oppo,op5226l1
oppo,op5227
oppo,op5245
oppo,op524f
oppo,op5267
oppo,op5285
oppo,op528bl1
oppo,op528f
oppo,op52d1l1
oppo,op52f3l1
oppo,op532fl1
oppo,op5339l1
oppo,op55f1l1
oppo,op55f3l1
oppo,op55ff
oppo,op5601
oppo,op5605
