Brand,SubBrand,Arcsoft SDK,Face++ SDK,SenseTime SDK,Biometric SensorTech SDK,System Face App
10or,e,,,,,system/app/FaceLock/FaceLock.apk
8849,tank3,,,vendor/lib64/libstfaceunlock.so; vendor/lib/libstfaceunlock.so,,
8849,tank_mini_1,,,vendor/lib64/libstfaceunlock.so; vendor/lib/libstfaceunlock.so,,
KDDI,imnj,,,,,system/app/FaceLock.apk
KDDI,joan,,,,,
KDDI,scv31,,,,,system/priv-app/FaceService/FaceService.apk; system/priv-app/smartfaceservice/smartfaceservice.apk
KDDI,scv38,,,,,system/system/priv-app/BioFaceService/BioFaceService.apk; system/system/priv-app/FaceService/FaceService.apk; system/system/priv-app/smartfaceservice/smartfaceservice.apk
KDDI,shooting,,,,,
KDDI,sov41,,,,,system/system/app/FaceLock/FaceLock.apk
ace,as0618,,,,,system/app/FaceLock/FaceLock.apk; system/priv-app/QK_FaceUnlockEx/QK_FaceUnlockEx.apk
acer,acer_barricadewifi,,,,,system/app/FaceLock/FaceLock.apk
acer,acer_c01,,,,,
acer,acerone8t482l,,,,,
adt-3,adt3,,,,,
agm,hs8939qc,,,,,
aidata,adt1061,,,,,
ajnaxr,ajnaxr,,,,,
ajnaxr,kona,,,,,
aligator,aligator_s6500,,,,,system/system/priv-app/FaceUnlock/FaceUnlock.apk
allcall,allcall_s1_x,,,,,
allwinner,apollo_lybox,,,,,
allwinner,ceres-b6,,,,,
allwinner,kylin-p2,,,,,system/app/FaceLock/FaceLock.apk
allwinner,virgo-perf1,,,,,
alps,8227l_demo,,,,,
alps,ac8257_demo_1g_32,,,,,
alps,aiv8167sm3_bsp,,,,,
alps,android,,,,,
alps,aqua_glam,,,,,system/app/FaceLock/FaceLock.apk
alps,co2,,,,,
alps,es2,,,,,
alps,f202_f22_p10,,,,,system/priv-app/FaceLockThird/FaceLockThird.apk
alps,frt,,,,,
alps,h2s,,,,,
alps,h55_mt8163_60_n,,,,,
alps,hinoki,,,,,system/app/FaceLock/FaceLock.apk
alps,i14_pro_max,,,,,system/priv-app/FaceUnlock/FaceUnlock.apk
alps,k63v1us_64_bsp,,,,,
alps,k63v2_64_bsp,,,,,
alps,k65v1_64_bsp,,,,,
alps,k6789v1_64,,,,,
alps,kw_c7s_auo,,,,,
alps,ld_c15_tft_lflt,,,,,product/app/FaceUnlockLauncher/FaceUnlockLauncher.apk; system/system/priv-app/WearHeilsFaceUnlock/WearHeilsFaceUnlock.apk
alps,lw_c15_tft_lflt,,,,,system/system/priv-app/WearHeilsFaceUnlock/WearHeilsFaceUnlock.apk
alps,mgvi_64_armv82,,,vendor/lib64/libstfaceunlockppl.so; vendor/lib/libstfaceunlockppl.so,,system_ext/app/FaceID/FaceID.apk
alps,mgvi_64_nfc_armv82,,,vendor/lib64/libstfaceunlockppl.so; vendor/lib/libstfaceunlockppl.so,,system_ext/app/FaceID/FaceID.apk
alps,mgvi_t_64_armv82,,,vendor/lib64/libstfaceunlock.so; vendor/lib/libstfaceunlock.so,,
alps,mgvi_t_64_wifi_armv82,,,,,
alps,mihal,,,,,
alps,ne1,,,,,system/app/FaceLock/FaceLock.apk
alps,op5303,,,odm/lib/libstfaceunlockppl.so,,
alps,ranger,,,,,system/app/FaceLock/FaceLock.apk
alps,sanstar77_jb,,,,,system/app/FaceLock.apk
alps,sm34,,,,,system/system/app/FaceLock/FaceLock.apk
alps,spm8666p1_64_bsp,,system/priv-app/Camera_FIH/lib/arm64/libMegviiUnlock.so; system/priv-app/CarAccount/lib/arm64/libMegviiUnlock.so,,,
alps,stone,,,system/system/app/MiuiBiometric/lib/arm64/libstfaceunlockppl.so; system/system/lib64/libstfaceunlockppl.so,,
alps,tb8768p1_64_a32,,odm/lib/libMegviiUnlock.so,,,system/system/app/HwSecurityServer/HwLocalFaceIdAuth.apk
alps,tb8797p1_64_k419,,,,,
alps,wt6580_we_n,,,,,
alps,xy_d09_tft_lflt,,,,,product/app/FaceUnlockLauncher/FaceUnlockLauncher.apk; system/system/priv-app/WearHeilsFaceUnlock/WearHeilsFaceUnlock.apk
alps,z703_32,,,,,system/app/FaceLock/FaceLock.apk
amazfit,msm8909w,,,,,
amazon,ariel,,,,,
amazon,austin,,,,,
amazon,bueller,,,,,
amazon,cupcake,,,,,
amazon,douglas,,,,,
amazon,ford,,,,,
amazon,gazelle,,,,,
amazon,giza,,,,,
amazon,kara,,,,,
amazon,karnak,,,,,
amazon,kayak,,,,,
amazon,mantis,,,,,
amazon,maverick,,,,,
amazon,mustang,,,,,
amazon,needle,,,,,
amazon,onyx,,,,,
amazon,quartz,,,,,
amazon,raspite,,,,,
amazon,raven,,,,,
amazon,sheldon,,,,,
amazon,sheldonp,,,,,
amazon,sloane,,,,,
amazon,stark,,,,,
amazon,suez,,,,,
amazon,sunstone,,,,,
amazon,tank,,,,,
amazon,thebes,,,,,
amazon,trona,,,,,
amazon,tungsten,,,,,
amlogic,anning,,,,,
amlogic,aster,,,,,
amlogic,franklin,,,,,
amlogic,newton,,,,,
amlogic,ohm,,,,,
amlogic,ohmcas,,,,,
android,aosp_arm64,,,,,
android,fih_msm8937_32go,,,,,
android,generic,,,,,
android,generic_arm64,,,,,
android,generic_arm64_ab,,,,,
